fig_num,name,num_parts
fig-000001,Toy Store Employee,4
fig-000002,Customer Kid,4
fig-000003,Assassin Droid,8
fig-000004,Basic Figure,4
fig-000005,Captain America,3
fig-000006,Lloyd Avatar,5
fig-000007,"Lloyd, Digi Lloyd",5
fig-000008,Wonder Woman,4
fig-000009,The Flash,4
fig-000010,Batman,5
fig-000011,Captain Cold,4
fig-000012,Truck Driver,4
fig-000013,Gorilla Grodd,5
fig-000014,Batgirl,5
fig-000015,Sir Fangar,7
fig-000016,Stealthor,6
fig-000017,Gorzon,6
fig-000018,Alien,3
fig-000019,UFO Alien Blue,5
fig-000020,"Classic Space Red, with Airtanks",5
fig-000021,Krusty the Clown,3
fig-000022,Chicken Suit Guy,4
fig-000023,Warrior Woman,4
fig-000024,Race Car Driver,6
fig-000025,Conquistador,5
fig-000026,Firox,10
fig-000027,UFO Alien Red,5
fig-000028,Hulk,4
fig-000029,Harry Potter,4
fig-000030,Space Police II,6
fig-000031,Minifig from 8804-9,4
fig-000032,Batman,5
fig-000033,Minifig from 31025-1,4
fig-000034,Aquanaut 2,7
fig-000035,Minifig from 71005-9,3
fig-000036,Minifig from 8804-16,4
fig-000037,Minifig from 8684-11,4
fig-000038,Minifig from 2824-15,4
fig-000039,Minifig from 645-1,4
fig-000040,Minifig from 6627-1,4
fig-000041,Minifig from 71005-10,3
fig-000042,Minifig from 71005-10,3
fig-000043,Dr. Kilroy in Dark Gray Suit,4
fig-000044,Minifig from 3584-1,3
fig-000045,Minifig from 7907-23,4
fig-000046,Minifig from 8684-15,4
fig-000047,Minifig from 71001-5,4
fig-000048,Minifig from 7907-5,4
fig-000049,Minifig from 5001622-1,4
fig-000050,Minifig from 71005-11,3
fig-000051,Minifig from 7904-2,4
fig-000052,Minifig from 7324-5,4
fig-000053,Minifig from 1492-1,4
fig-000054,Minifig from 7958-17,4
fig-000055,Minifig from 71005-13,3
fig-000056,Minifig from 5001709-1,4
fig-000057,Minifig from 6004-1,5
fig-000058,Minifig from 75023-11,4
fig-000059,Minifig from 7907-20,4
fig-000060,Minifig from 71009-14,4
fig-000061,Blacktron II - 3626a Head,6
fig-000062,Blacktron II - 3626b Head,6
fig-000063,Minifig from 71005-14,4
fig-000064,Minifig from 7250-1,4
fig-000065,M:Tron,6
fig-000066,Minifig from 71000-1,4
fig-000067,Minifig from 2824-11,4
fig-000068,Minifig from 71005-15,3
fig-000069,Minifig from 3076-1,4
fig-000070,Space Police I,6
fig-000071,Minifig from 1858-1,5
fig-000072,Knight with Dark Gray Helmet with Black Visor and Red Dragon Plumes,9
fig-000073,Minifig from 7178-1,4
fig-000074,Minifig from 6564-1,4
fig-000075,Minifig from 30005-1,5
fig-000076,Minifig from 6810-1,6
fig-000077,Minifig from 30000-1,4
fig-000078,Minifig from 7958-3,4
fig-000079,Minifig from 3069-1,5
fig-000080,Minifig from 71002-3,5
fig-000081,Minifig from 71009-15,3
fig-000082,Minifig from 71002-8,3
fig-000083,Fangdam,3
fig-000084,Minifig from 4150-1,4
fig-000085,Minifig from 8357-1,5
fig-000086,Minifig from 6818-1,3
fig-000087,Minifig from 4900-1,5
fig-000088,Minifig from 6850-1,6
fig-000089,Minifig from 71007-4,4
fig-000090,Minifig from 5621-1,5
fig-000091,Minifig from 9509-16,4
fig-000092,Minifig from 71004-16,4
fig-000093,Ogel with Trans-red Hook,6
fig-000094,Minifig from 71009-16,3
fig-000095,Minifig from 7907-8,4
fig-000096,Dash with Black Flippers,8
fig-000097,Minifig from 4818-1,4
fig-000098,Minifig from 6804-1,5
fig-000099,Minifig from 6463-1,5
fig-000100,Minifig from 6648-2,4
fig-000101,Minifig from 7687-22,5
fig-000102,Minifig from 6452-1,4
fig-000103,Minifig from 6465-1,5
fig-000104,Minifig from 6604-1,4
fig-000105,Minifig from 7312-1,5
fig-000106,"Blacktron II - Jetpack, 3626a Head",8
fig-000107,"Blacktron II - Jetpack, 3626b Head",8
fig-000108,Minifig from 30002-1,4
fig-000109,Cole (The Golden Weapons),4
fig-000110,Minifig from 71000-12,4
fig-000111,Zane DX,4
fig-000112,Minifig from 615-2,4
fig-000113,Ice Planet - White Hair,6
fig-000114,Minifig from 3013-1,6
fig-000115,Minifig from 5002122-1,3
fig-000116,Minifig from 6570-1,7
fig-000117,Minifig from 8803-7,4
fig-000118,Minifig from 6519-1,6
fig-000119,Minifig from 7310-1,5
fig-000120,Minifig from 2824-19,5
fig-000121,Minifig from 9707-1,5
fig-000122,Minifig from 30215-1,4
fig-000123,Minifig from 3388-1,4
fig-000124,Minifig from 7958-7,3
fig-000125,Minifig from 70149-1,4
fig-000126,Minifig from 6616-1,5
fig-000127,Minifig from 6532-1,4
fig-000128,Minifig from 6641-1,4
fig-000129,Minifig from 1360-1,4
fig-000130,Minifig from 40195-1,4
fig-000131,Minifig from 71005-3,4
fig-000132,Minifig from 5004388-1,4
fig-000133,Minifig from 6503-1,5
fig-000134,Minifig from 670-1,5
fig-000135,Minifig from 6537-1,6
fig-000136,Minifig from 853305-1,4
fig-000137,Minifig from 6245-1,5
fig-000138,Minifig from 4940-1,5
fig-000139,Minifig from 6186-1,4
fig-000140,Minifig from 7630-1,4
fig-000141,Minifig from 30350-1,7
fig-000142,Minifig from 75075-1,4
fig-000143,Minifig from 70136-1,5
fig-000144,Minifig from 75056-14,4
fig-000145,Minifig from comcon038-1,4
fig-000146,Minifig from 1991-1,5
fig-000147,Minifig from 5001623-1,5
fig-000148,Minifig from 4584-1,5
fig-000149,Jay ZX with Shoulder Armour,5
fig-000150,Minifig from 5013-1,3
fig-000151,Minifig from 70127-1,5
fig-000152,Minifig from 3928-1,5
fig-000153,Minifig from 6526-1,5
fig-000154,Minifig from 3390-1,3
fig-000155,Minifig from 1740-1,6
fig-000156,Minifig from 3074-1,4
fig-000157,Minifig from 3929-1,5
fig-000158,Minifig from 5537-1,4
fig-000159,Minifig from 4589-1,5
fig-000160,Minifig from 6673-1,4
fig-000161,Minifig from 6663-1,7
fig-000162,Minifig from 6187-1,4
fig-000163,Minifig from 7664-1,4
fig-000164,Minifig from 30014-1,5
fig-000165,Minifig from 7834-1,4
fig-000166,Minifig from 9509-10,4
